cos_theta,theta_deg,count_to_49,count_to_50,total
1.000000000000,0.000000,0,1,1
0.909137290097,24.613598,4,0,4
0.900000000000,25.841933,0,4,4
0.808122035642,36.087147,4,0,4
0.800000000000,36.869898,0,6,6
0.707106781187,45.000000,2,0,2
0.700000000000,45.572996,0,8,8
0.600000000000,53.130102,0,2,2
0.505076272276,59.663584,4,0,4
0.500000000000,60.000000,0,4,4
0.404061017821,66.167701,4,0,4
0.303045763366,72.359369,4,0,4
0.200000000000,78.463041,0,4,4
0.101015254455,84.202364,4,0,4
0.100000000000,84.260830,0,12,12
0.000000000000,90.000000,2,2,4
-0.100000000000,95.739170,0,12,12
-0.101015254455,95.797636,4,0,4
-0.200000000000,101.536959,0,4,4
-0.303045763366,107.640631,4,0,4
-0.404061017821,113.832299,4,0,4
-0.500000000000,120.000000,0,4,4
-0.505076272276,120.336416,4,0,4
-0.600000000000,126.869898,0,2,2
-0.700000000000,134.427004,0,8,8
-0.707106781187,135.000000,2,0,2
-0.800000000000,143.130102,0,6,6
-0.808122035642,143.912853,4,0,4
-0.900000000000,154.158067,0,4,4
-0.909137290097,155.386402,4,0,4
