cos_theta,theta_deg,count_to_49,count_to_50,total
1.000000000000,0.000000,1,0,1
0.979591836735,11.595273,1,0,1
0.969746442770,14.129503,0,1,1
0.949543391879,18.278471,0,1,1
0.909137290097,24.613598,0,3,3
0.888934239206,27.260372,0,1,1
0.868731188315,29.688471,0,1,1
0.857142857143,31.002719,1,0,1
0.836734693878,33.203099,1,0,1
0.828325086533,34.072934,0,1,1
0.816326530612,35.281262,1,0,1
0.808122035642,36.087147,0,3,3
0.787918984751,38.008540,0,1,1
0.734693877551,42.718645,4,0,4
0.727309832078,43.338661,0,1,1
0.673469387755,47.664598,1,0,1
0.666700679404,48.187070,0,1,1
0.653061224490,49.227195,1,0,1
0.632653061224,50.753867,1,0,1
0.626294577622,51.222731,0,1,1
0.585888475840,54.134218,0,1,1
0.545482374058,56.942366,0,1,1
0.505076272276,59.663584,0,3,3
0.489795918367,60.672831,3,0,3
0.484873221385,60.995833,0,1,1
0.469387755102,62.005438,1,0,1
0.464670170494,62.311122,0,2,2
0.428571428571,64.623066,1,0,1
0.404061017821,66.167701,0,3,3
0.383857966930,67.427140,0,1,1
0.343451865148,69.912680,0,1,1
0.323248814257,71.140486,0,1,1
0.306122448980,72.174294,1,0,1
0.303045763366,72.359369,0,3,3
0.285714285714,73.398450,1,0,1
0.262639661584,74.773252,0,1,1
0.244897959184,75.824196,2,0,2
0.242436610693,75.969604,0,1,1
0.222233559801,77.159745,0,2,2
0.183673469388,79.416197,2,0,2
0.161624407128,80.698805,0,1,1
0.101015254455,84.202364,0,3,3
0.081632653061,85.317583,2,0,2
0.080812203564,85.364747,0,1,1
0.060609152673,86.525222,0,1,1
0.000000000000,90.000000,4,0,4
-0.060609152673,93.474778,0,1,1
-0.080812203564,94.635253,0,1,1
-0.081632653061,94.682417,2,0,2
-0.101015254455,95.797636,0,3,3
-0.161624407128,99.301195,0,1,1
-0.183673469388,100.583803,2,0,2
-0.222233559801,102.840255,0,2,2
-0.242436610693,104.030396,0,1,1
-0.244897959184,104.175804,2,0,2
-0.262639661584,105.226748,0,1,1
-0.285714285714,106.601550,1,0,1
-0.303045763366,107.640631,0,3,3
-0.306122448980,107.825706,1,0,1
-0.323248814257,108.859514,0,1,1
-0.343451865148,110.087320,0,1,1
-0.383857966930,112.572860,0,1,1
-0.404061017821,113.832299,0,3,3
-0.428571428571,115.376934,1,0,1
-0.464670170494,117.688878,0,2,2
-0.469387755102,117.994562,1,0,1
-0.484873221385,119.004167,0,1,1
-0.489795918367,119.327169,3,0,3
-0.505076272276,120.336416,0,3,3
-0.545482374058,123.057634,0,1,1
-0.585888475840,125.865782,0,1,1
-0.626294577622,128.777269,0,1,1
-0.632653061224,129.246133,1,0,1
-0.653061224490,130.772805,1,0,1
-0.666700679404,131.812930,0,1,1
-0.673469387755,132.335402,1,0,1
-0.727309832078,136.661339,0,1,1
-0.734693877551,137.281355,4,0,4
-0.787918984751,141.991460,0,1,1
-0.808122035642,143.912853,0,3,3
-0.816326530612,144.718738,1,0,1
-0.828325086533,145.927066,0,1,1
-0.836734693878,146.796901,1,0,1
-0.857142857143,148.997281,1,0,1
-0.868731188315,150.311529,0,1,1
-0.888934239206,152.739628,0,1,1
-0.909137290097,155.386402,0,3,3
-0.949543391879,161.721529,0,1,1
-0.969746442770,165.870497,0,1,1
-0.979591836735,168.404727,1,0,1
